"","Class.L3","V1"
"1311","Immunity_ReceptorCLectin","ECB-GENEPAGE-23118438"
"1312","Immunity_ReceptorScavenger","ECB-GENEPAGE-23046200"
"1313","Immunity_ReceptorScavenger","ECB-GENEPAGE-23046204"
"1314","Histone_RepcationDepedent_Late","ECB-GENEPAGE-23037402"
"1315","Metabolism_AminoAcid","ECB-GENEPAGE-23061035"
"1316","Immunity_ReceptorNLR","ECB-GENEPAGE-23119703"
"1317","Metabolism_Nucleotide","ECB-GENEPAGE-23044927"
"1318","Metabolism_Nucleotide","ECB-GENEPAGE-23044832"
"1319","Metalloprotease","ECB-GENEPAGE-23169930"
"1320","GPCRRhodopsin_All","ECB-GENEPAGE-23086748"
"1321","Nervous_Chemosensory","ECB-GENEPAGE-23086748"
"1322","Metabolism_Carbohydrate","ECB-GENEPAGE-23030634"
"1323","Metabolism_Carbohydrate","ECB-GENEPAGE-23030849"
